TF	Number_of_ChIPexp	q_value_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
GRHL2	1	0.0038094594842942573	0.006292220875037201	0.027852531822864336	0.07651801330597899	0.011541076831721998	0.2509277440778224	2.578081701192856e-05	0.00029354671010832826	3.663932141934974e-07	0.000359828945418505	0.003867693751718055	0.2517141629309652	0.01580307376240396	0.0012726860656833182	0.1786568565643487
TLE1	1	0.009392668742647327	0.3745483621274625	0.00013835585594387556	0.32104858528027547	0.37315841594083904	0.0012488277849773569	0.0006428937411367305	0.11274907520504118	0.008161922242567376	0.04470093934992413	0.0010925020061071083	0.00033775655397769557	0.00044889011314007535	0.11793353875025511	0.010385069225937541
CSN1	2	2.7317479199939335e-15	0.4251233400184921	0.05378955273541875	2.39185118719268e-22	0.0001949460902691716	3.635066013355879e-09	1.5039953261687706e-09	5.5149000526455565e-12	5.520264449745432e-13	8.46904087013318e-51	5.828063806025097e-16	0.000908503282285771	1.4472338330835965e-15	4.096279965679463e-31	2.73172793457293e-23
MYB	2	3.2835011705579404e-06	0.08538914815629353	0.4052575978297562	7.021123923901499e-12	0.0012133439875169345	0.0019034006165575606	0.08685829939347837	0.002480100662053063	5.866295265105381e-07	1.3390389933629268e-15	4.748239440358477e-08	0.08421989848957097	3.674160158317637e-11	3.2551386496844463e-11	3.728663147440941e-05
TF65	28	5.489289964468098e-16	1.8458957451803203e-06	0.008058342246822855	5.2630425130490684e-52	6.4260323255658366e-21	1.0870325203669031e-27	0.001271847293994278	3.0644313562630585e-51	0.16812198789933502	8.75006197025873e-26	0.30078373470770364	1.5863754321843482e-10	6.933697243912553e-10	2.1377613740709034e-08	0.10170593093390973
BATF	14	1.636055144755123e-13	5.735440390022228e-07	0.017533625235783522	4.040703352384453e-51	1.0195342986236714e-09	4.198316901988582e-25	0.03368047340049997	5.493468769394401e-29	0.1455598314897145	1.4855195892212012e-06	5.452324961863667e-15	2.0586862255346322e-22	0.0009692356678399932	0.1575225894414811	8.254860129312617e-12
MYBA	2	7.02815892399558e-08	5.545054582722992e-05	0.02657490141048537	2.9717522907460272e-06	1.614209155407079e-13	9.75867036867674e-13	0.04892330538185211	1.8660340547243445e-08	0.001114516299502009	2.466443501107726e-21	4.127932724788517e-07	0.12975512438032175	0.00023820047836423255	3.127240753723411e-14	1.0386935895329094e-07
KAT8	6	4.605626149051619e-18	4.493832642483888e-15	0.08509838440220016	1.5109074240944555e-29	2.7067586978100643e-17	1.9198075947072692e-38	3.1240107723738505e-05	7.947187672570319e-13	3.5818265584798596e-14	7.633199706814938e-33	8.633029363239911e-10	0.05011705492467174	7.334056779901784e-13	6.427333694497535e-30	4.648332589746226e-31
ELF5	1	0.006681853041714803	0.35302366564849774	0.2793561688402384	0.16600557193455506	0.09164408593587155	0.049730186934094235	0.00011707818870218945	0.09432886063778623	4.541920696684673e-07	0.0005897247106590939	0.08401345425493718	0.3766474724120041	1.0091832799098214e-06	0.004292676125361847	0.011688426861709159
NFIB	2	1.323859021106565e-06	0.12061701474204599	0.06970226783638521	4.9133692961824667e-05	7.054195283575923e-05	5.8533302716763925e-05	2.5319294331380227e-09	3.260458354641102e-07	3.078235943492628e-07	9.692184344012415e-22	0.00012823132080919957	0.27432073210501445	0.08992866702911326	2.0630478388143498e-07	1.8526139150236805e-13
OLIG2	3	2.6408867359838834e-09	0.1572737335087024	0.041572882130079154	0.010313465804705874	4.300786953258448e-07	0.4457182248457725	0.4024882843658781	0.00022660988598329165	0.1938070696653877	4.234814498189238e-30	1.7588939014153245e-27	2.714545712827672e-10	1.790767231603083e-08	7.745406388096074e-19	1.2524526503339197e-13
TAF3	3	9.258214514834414e-17	5.462553426749438e-05	0.3022146550199935	6.717874961885479e-26	2.1741940141891995e-13	1.8802833263059325e-20	0.11827286413198189	1.3285730713642364e-10	1.0336645307544425e-09	9.325041857450654e-43	8.937823084324844e-20	3.901127152451763e-06	1.4186288126264108e-15	3.557051038038374e-32	2.8134223205416998e-30
ZIC3	2	0.005904389393699906	0.2828225116263873	0.13106948657756842	0.302479579483225	0.19234970877157762	0.03209731643434989	0.0011977307593527785	0.001040642526367119	7.807055774459856e-05	0.00360082426491793	0.0003288921538666396	0.007288821921822857	0.0004900636166830774	0.0026817784116404102	0.000818920615970171
GATA6	2	0.0028185419292841365	0.08681041335441433	0.4290385816520596	0.00010327705187575081	3.958522643353055e-05	0.0014245854802064915	0.005345729412114154	3.6863576995454023e-10	0.07848281563570916	1.4751158290211034e-05	0.45622021001109675	0.035198904296222834	0.28186693531278806	0.08583946612249617	0.010385069225937541
STAG2	1	0.0003079695666896697	0.30106701861009144	1.3986207241336982e-07	0.015116488445993292	0.08249343786621051	0.4548767142077627	0.035218535388067095	0.15681369430349903	0.007983070709550885	3.1953453415909796e-05	6.227020839087537e-12	0.0006905985690255036	2.010610772230824e-06	0.00024346999533218883	9.746744030951607e-07
MSGN1	1	0.0030177590713423323	0.02751921065402858	0.44519916477183724	0.00808232837445728	0.0006712831001232248	0.4160432992822877	0.3444196151430366	0.13073275979515767	0.10785647361995304	3.872704380293719e-06	0.0009218058867596044	0.00012631956972857604	0.0009200307624177281	4.523530335231046e-06	2.0610570153531227e-05
ESR1	17	1.4498853559609031e-11	0.04121660333889437	0.006116290814652921	0.015920965407856036	1.2893211628823158e-08	0.00019348463569032536	3.3829863219341e-07	4.376902951437142e-12	0.04610171696418877	4.422287895503111e-26	1.1320949968842795e-19	6.421634049700315e-07	4.960831241064285e-11	2.475014566967859e-19	6.724222272030632e-37
GRHL3	3	7.575285626505929e-11	5.6228871250239154e-05	0.0031694087150025076	0.0010211673411022672	0.0008028237476231485	0.3816439611399478	9.629232049082491e-06	1.7623791030988664e-05	0.004273281761682428	4.591301017550789e-33	1.3250869868896881e-21	2.9309268167944983e-09	2.8499481299456364e-11	6.323409860930703e-25	1.5770559656419852e-20
