TF	Number_of_ChIPexp	z_score_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
MXI1	2	0.459056839509	3.12550626422	-1.10373481503	11.0778317451	6.27222181443	10.8866666294	-1.70341746052	9.13024312244	-3.55671260403	-9.74966505167	-2.20053123601	1.10282255126	-5.6473431601	-6.38190589439	-4.82518615194
TBX19	1	-1.68289783027	2.15650546185	-0.605848344077	4.29629601074	4.93367164238	6.26916493689	-3.23309088003	2.08892609053	-7.15475803004	-10.1006843086	-5.94727007848	-0.637451623382	-3.28050767197	-7.06198102707	-5.28354180258
PRGC1	1	-0.903033230673	3.56038876106	7.06164459493	-3.65049137277	4.12142478625	0.723741793381	1.01816504893	4.01312726144	3.91829524924	-5.268459463	-6.90987943111	-4.41126420804	-7.03396432676	-5.24604579232	-4.53914813066
ELL2	4	-1.85298507474	-1.3619447428	1.21111055098	1.53120046596	0.498423442547	0.655974014379	-2.97448667438	1.21174383148	-5.58993446779	-4.67722581657	-4.8501095213	-3.76319878548	-2.290903933	-2.62591824469	-2.91652116567
FOSL2	5	3.47976698746	4.41968853182	4.57016399162	11.807695198	6.49816444784	7.7616859117	4.08763929403	10.5398196718	0.930425603807	-4.01494135189	1.7932028636	5.8936191973	-2.75900567489	-1.96219911636	-0.849220743921
BRD4	8	-1.95538422254	3.09218919325	-3.23263293486	14.3340592075	7.45444838879	10.4397724458	-3.42958681588	9.262216721	-7.13684976183	-15.2164222234	-7.72271766604	-0.929874526309	-9.43870512942	-13.1810443038	-11.6702317105
MYOD1	16	-4.33083474239	-0.192042008673	2.95488979789	3.94197937858	8.38892507028	-3.78836524171	-0.943033111266	6.50348098262	-2.44323560251	-15.7510563158	-16.122175912	-6.92467382261	-9.19913475061	-11.4374126399	-15.6198322178
SMAD4	2	-1.83677831448	-1.28573510666	1.68119138598	5.41671864567	2.67548548254	4.03330455898	-2.36226906229	8.52766567064	-2.58789851527	-11.0109365324	-5.80197474448	-3.87012507165	-6.54430228072	-8.00679789657	-6.57922293647
BACH2	1	1.30732664143	1.44067676089	-1.09582845817	6.34609466247	2.6372406945	3.73210987658	0.581434371518	6.74568201105	-1.01233674974	-5.18415699716	1.90239831204	3.23200124897	-4.4725203062	-0.637630282381	4.08740783558
SOX3	2	-1.46188820557	-1.5688922174	2.21106858608	1.02479907321	-0.0554282415985	0.0908517792848	-2.29306564781	0.636556569405	-2.5822908637	-3.55583174812	-3.52578758031	-2.45500670072	-2.65546430355	-2.44595802896	-3.29198555387
ATF3	5	6.00165862399	4.50290815848	4.25511734559	15.4479771105	3.24751392058	7.54950984881	6.07035083057	10.5970958967	1.93258247295	1.60685555375	8.23570671953	11.8846655033	0.752738846428	3.50941087793	4.43078765074
TBX20	1	-1.61754057524	-1.79443768117	0.591802560368	-3.79082246435	1.66433891881	-2.56590458485	0.543628639719	1.34758292432	2.83640332174	-3.41606762516	-6.16733925734	-1.17818114315	-2.07737618102	-3.50090964796	-5.13828583337
GATA2	18	1.02623870557	-1.13595728332	1.92123887727	10.2180528846	7.68638320834	5.90553770364	-1.68324741406	11.4614094676	-0.901197071525	-9.26104203476	-1.9840741871	4.32805331157	-5.25962911745	-5.425582092	-1.5026043748
CHD7	2	-0.809435844898	0.427050344547	2.68847704004	3.78818762675	4.53553828515	0.863601594533	0.0251655184006	3.3524491929	-0.580712205724	-3.53415053865	-3.79333423558	-1.47713931739	-6.59184892798	-4.97153166675	-6.06385453882
SMAD1	8	-0.0670221037489	0.38242360969	2.65645583456	1.10608661878	2.44828727446	1.30422892675	1.71455827129	2.3554170323	0.723922647354	-3.67671720646	-3.24595911695	-1.28979862518	-2.07798167264	-1.90914943072	-1.43008361572
USF1	2	0.315430971622	4.40815988881	4.7397854387	3.73017757674	2.97223420695	6.87840832546	-3.17659705362	1.5957629932	-4.59958887149	-4.09556322421	0.151614442336	1.05802424202	-0.962783114359	-2.76544202523	-5.5181592226
